Age,Gender,Department,JobRole,MonthlyIncome,YearsAtCompany,JobSatisfaction,WorkLifeBalance,OverTime,DistanceFromHome,TrainingTimesLastYear,PerformanceRating,Attrition
21,Female,Research & Development,Healthcare Representative,25133,18,1,4,No,15,3,3,0
50,Female,Research & Development,Healthcare Representative,82708,21,2,3,No,33,0,4,0
45,Female,Sales,Sales Executive,91938,3,3,3,No,28,2,1,0
36,Female,Research & Development,Research Scientist,113873,6,1,2,Yes,7,5,1,0
36,Female,Sales,Manager,92245,0,4,4,Yes,39,4,3,1
54,Male,Research & Development,Manager,40410,12,1,1,No,6,6,3,0
21,Female,Research & Development,Healthcare Representative,64520,12,4,2,Yes,11,5,3,0
47,Male,Sales,Research Scientist,74911,0,3,4,No,29,2,4,0
26,Female,Sales,Healthcare Representative,147832,16,4,2,Yes,21,5,1,0
21,Female,Research & Development,Sales Executive,86891,0,4,1,No,18,6,4,0
40,Male,Sales,Research Scientist,100722,19,3,2,No,37,4,1,0
58,Female,Human Resources,Healthcare Representative,114301,17,4,2,No,31,5,3,0
48,Male,Research & Development,Manager,63902,20,2,3,No,38,3,4,0
49,Female,Research & Development,Manager,145201,2,3,1,No,12,6,3,0
48,Male,Sales,Human Resources,106112,21,4,2,Yes,34,1,1,0
51,Male,Research & Development,Research Director,129517,13,1,4,No,9,2,3,0
39,Female,Human Resources,Manufacturing Director,116144,21,2,1,No,32,1,4,0
23,Male,Sales,Research Director,98904,17,1,4,Yes,22,0,1,0
53,Female,Research & Development,Sales Executive,19168,16,3,1,No,24,4,4,0
36,Female,Sales,Research Director,93791,0,4,2,No,5,0,3,0
39,Male,Research & Development,Manufacturing Director,32483,17,1,3,No,35,1,1,0
33,Male,Research & Development,Sales Representative,96430,11,3,4,No,11,5,2,0
25,Male,Research & Development,Human Resources,109688,21,2,2,No,24,1,4,0
56,Male,Research & Development,Sales Representative,88599,17,4,1,Yes,7,6,2,0
50,Male,Research & Development,Human Resources,56639,1,1,4,Yes,37,0,4,1
45,Female,Sales,Sales Executive,23013,22,1,4,Yes,13,3,2,0
34,Male,Sales,Research Scientist,105592,1,1,3,No,30,0,2,0
52,Female,Human Resources,Manager,109270,7,2,1,Yes,30,0,4,0
40,Male,Research & Development,Healthcare Representative,79521,5,2,3,No,22,5,4,0
36,Female,Research & Development,Research Scientist,111705,24,4,2,No,5,0,1,0
36,Female,Research & Development,Sales Representative,120180,3,2,2,No,11,6,4,0
27,Male,Sales,Sales Executive,84184,21,1,1,Yes,24,4,2,0
21,Female,Sales,Human Resources,21436,5,3,2,Yes,21,3,4,0
41,Male,Sales,Research Scientist,132502,16,1,4,No,23,6,1,0
55,Male,Human Resources,Healthcare Representative,78009,2,2,1,No,10,2,3,0
20,Female,Research & Development,Research Director,105778,9,3,4,No,21,2,1,0
54,Female,Research & Development,Healthcare Representative,137973,15,2,3,No,4,2,3,0
52,Male,Sales,Sales Representative,63959,17,3,3,No,19,4,4,0
29,Male,Sales,Sales Representative,98969,21,2,4,Yes,4,5,3,0
44,Male,Research & Development,Human Resources,17658,20,4,1,No,26,3,2,0
24,Male,Research & Development,Healthcare Representative,134481,12,2,4,Yes,23,1,4,0
49,Male,Human Resources,Human Resources,22986,7,4,2,No,34,6,1,0
47,Male,Research & Development,Healthcare Representative,88051,6,3,2,Yes,19,4,3,0
32,Female,Research & Development,Human Resources,62492,24,3,2,Yes,7,5,4,0
20,Male,Research & Development,Sales Representative,19831,15,1,3,Yes,10,3,2,0
